product_rule_id,product_id,product_name,category_id,storage_type_id,storage_condition,temperature_profile,rule_status,min_value,max_value,duration_unit,normalized_min_days,normalized_max_days,recommended_days,evidence_classification,confidence,source_name,source_url,source_locator,source_value_text,handling_notes
1,1,Starfruit,5,3,ROOM_TEMP,25-30 C,AVAILABLE,1,1,WEEKS,7.0,7.0,7.0,PRODUCT_SPECIFIC,HIGH,FoodKeeper ingredients.csv (public mirror of USDA FoodKeeper dataset),https://raw.githubusercontent.com/jelera/food-shelflife-db/master/lib/seeds/ingredients.csv,ingredients.csv record: Star fruit,1 week in pantry,Inspect for spoilage and follow package/manufacturer instructions when available.
2,1,Starfruit,5,1,FRIDGE,0-4 C,AVAILABLE,1,2,WEEKS,7.0,14.0,10.5,PRODUCT_SPECIFIC,HIGH,FoodKeeper ingredients.csv (public mirror of USDA FoodKeeper dataset),https://raw.githubusercontent.com/jelera/food-shelflife-db/master/lib/seeds/ingredients.csv,ingredients.csv record: Star fruit,1-2 weeks refrigerated,Inspect for spoilage and follow package/manufacturer instructions when available.
3,1,Starfruit,5,2,FREEZER,<= -18 C,AVAILABLE,10,12,MONTHS,300.0,360.0,330.0,PRODUCT_SPECIFIC,HIGH,FoodKeeper ingredients.csv (public mirror of USDA FoodKeeper dataset),https://raw.githubusercontent.com/jelera/food-shelflife-db/master/lib/seeds/ingredients.csv,ingredients.csv record: Star fruit,10-12 months frozen,Freezer durations are quality guidance; freezing may soften fruit after thawing. Prepare and package fruit appropriately before freezing.
4,2,Papaya,5,3,ROOM_TEMP,25-30 C,AVAILABLE,3,5,DAYS,3.0,5.0,4.0,PRODUCT_SPECIFIC,HIGH,FoodKeeper ingredients.csv (public mirror of USDA FoodKeeper dataset),https://raw.githubusercontent.com/jelera/food-shelflife-db/master/lib/seeds/ingredients.csv,"ingredients.csv record: Papaya, mango, feijoa, passionfruit, casaha melon",3-5 days in pantry,Inspect for spoilage and follow package/manufacturer instructions when available.
5,2,Papaya,5,1,FRIDGE,0-4 C,AVAILABLE,7,7,DAYS,7.0,7.0,7.0,PRODUCT_SPECIFIC,HIGH,FoodKeeper ingredients.csv (public mirror of USDA FoodKeeper dataset),https://raw.githubusercontent.com/jelera/food-shelflife-db/master/lib/seeds/ingredients.csv,"ingredients.csv record: Papaya, mango, feijoa, passionfruit, casaha melon",1 week refrigerated,Inspect for spoilage and follow package/manufacturer instructions when available.
6,2,Papaya,5,2,FREEZER,<= -18 C,AVAILABLE,6,8,MONTHS,180.0,240.0,210.0,PRODUCT_SPECIFIC,HIGH,FoodKeeper ingredients.csv (public mirror of USDA FoodKeeper dataset),https://raw.githubusercontent.com/jelera/food-shelflife-db/master/lib/seeds/ingredients.csv,"ingredients.csv record: Papaya, mango, feijoa, passionfruit, casaha melon",6-8 months frozen,Freezer durations are quality guidance; freezing may soften fruit after thawing. Prepare and package fruit appropriately before freezing.
7,3,Cempedak,5,3,ROOM_TEMP,25-30 C,AVAILABLE,3,5,DAYS,3.0,5.0,4.0,CATEGORY_GENERALIZATION,LOW,FoodKeeper ingredients.csv (public mirror of USDA FoodKeeper dataset),https://raw.githubusercontent.com/jelera/food-shelflife-db/master/lib/seeds/ingredients.csv,"ingredients.csv record: Papaya, mango, feijoa, passionfruit, casaha melon",3-5 days in pantry,Inspect for spoilage and follow package/manufacturer instructions when available.
8,3,Cempedak,5,1,FRIDGE,0-4 C,AVAILABLE,7,7,DAYS,7.0,7.0,7.0,CATEGORY_GENERALIZATION,LOW,FoodKeeper ingredients.csv (public mirror of USDA FoodKeeper dataset),https://raw.githubusercontent.com/jelera/food-shelflife-db/master/lib/seeds/ingredients.csv,"ingredients.csv record: Papaya, mango, feijoa, passionfruit, casaha melon",1 week refrigerated,Inspect for spoilage and follow package/manufacturer instructions when available.
9,3,Cempedak,5,2,FREEZER,<= -18 C,AVAILABLE,6,8,MONTHS,180.0,240.0,210.0,CATEGORY_GENERALIZATION,LOW,FoodKeeper ingredients.csv (public mirror of USDA FoodKeeper dataset),https://raw.githubusercontent.com/jelera/food-shelflife-db/master/lib/seeds/ingredients.csv,"ingredients.csv record: Papaya, mango, feijoa, passionfruit, casaha melon",6-8 months frozen,Freezer durations are quality guidance; freezing may soften fruit after thawing. Prepare and package fruit appropriately before freezing.
10,4,Sapodilla (Ciku),5,3,ROOM_TEMP,25-30 C,QUALITATIVE_ONLY,,,,,,,PRODUCT_SPECIFIC,HIGH,FoodKeeper ingredients.csv (public mirror of USDA FoodKeeper dataset),https://raw.githubusercontent.com/jelera/food-shelflife-db/master/lib/seeds/ingredients.csv,"ingredients.csv record: Peaches, nectarines, plums, pears, sapote",Keep at room temperature until ripe,Inspect for spoilage and follow package/manufacturer instructions when available.
11,4,Sapodilla (Ciku),5,1,FRIDGE,0-4 C,AVAILABLE,3,5,DAYS,3.0,5.0,4.0,PRODUCT_SPECIFIC,HIGH,FoodKeeper ingredients.csv (public mirror of USDA FoodKeeper dataset),https://raw.githubusercontent.com/jelera/food-shelflife-db/master/lib/seeds/ingredients.csv,"ingredients.csv record: Peaches, nectarines, plums, pears, sapote",3-5 days refrigerated once ripe,Inspect for spoilage and follow package/manufacturer instructions when available.
12,4,Sapodilla (Ciku),5,2,FREEZER,<= -18 C,AVAILABLE,2,2,MONTHS,60.0,60.0,60.0,PRODUCT_SPECIFIC,HIGH,FoodKeeper ingredients.csv (public mirror of USDA FoodKeeper dataset),https://raw.githubusercontent.com/jelera/food-shelflife-db/master/lib/seeds/ingredients.csv,"ingredients.csv record: Peaches, nectarines, plums, pears, sapote",2 months frozen,Freezer durations are quality guidance; freezing may soften fruit after thawing. Prepare and package fruit appropriately before freezing.
